Code,Department,Status,Quota,Current Quota
CE 690.14,ALL,ALL,Consent Of Instructor,2
CE 690.15,ALL,ALL,Consent Of Instructor,0
CE 690.16,ALL,ALL,Consent Of Instructor,5
CE 700.01,ALL,ALL,Consent Of Instructor,4
CE 790.01,ALL,ALL,Consent Of Instructor,1
CE 790.02,ALL,ALL,Consent Of Instructor,0
CE 790.03,ALL,ALL,Consent Of Instructor,6
CE 790.04,ALL,ALL,Consent Of Instructor,0
CE 790.05,ALL,ALL,Consent Of Instructor,4
CE 790.06,ALL,ALL,Consent Of Instructor,0
CE 790.07,ALL,ALL,Consent Of Instructor,1
CE 790.08,ALL,ALL,Consent Of Instructor,0
CE 790.09,ALL,ALL,Consent Of Instructor,1
CE 790.10,ALL,ALL,Consent Of Instructor,4
CE 790.11,ALL,ALL,Consent Of Instructor,4
CE 790.12,ALL,ALL,Consent Of Instructor,3
CE 790.13,ALL,ALL,Consent Of Instructor,1
CE 790.14,ALL,ALL,Consent Of Instructor,1
CE 790.15,ALL,ALL,Consent Of Instructor,3
CE 790.16,ALL,ALL,Consent Of Instructor,0
ENGG110.01,ALL,ALL,Consent Of Instructor,35
ENGG110.01,CIVIL ENGINEERING,ALL,16,16
ENGG110.02,ALL,ALL,Consent Of Instructor,15
ENGG110.02,CIVIL ENGINEERING,ALL,22,13
ENGG110.03,ALL,ALL,Consent Of Instructor,2
ENGG110.04,ALL,ALL,Consent Of Instructor,73
COGS579.01,ALL,ALL,Consent Of Instructor,3
COGS589.01,ALL,ALL,Consent Of Instructor,16
COGS690.02,ALL,ALL,Consent Of Instructor,0
COGS690.04,ALL,ALL,Consent Of Instructor,0
COGS690.06,ALL,ALL,Consent Of Instructor,2
COGS690.07,ALL,ALL,Consent Of Instructor,0
COGS690.08,ALL,ALL,Consent Of Instructor,0
COGS690.09,ALL,ALL,Consent Of Instructor,0
COGS690.10,ALL,ALL,Consent Of Instructor,0
COGS690.11,ALL,ALL,Consent Of Instructor,0
COGS690.12,ALL,ALL,Consent Of Instructor,0
COGS690.14,ALL,ALL,Consent Of Instructor,2
COGS690.15,ALL,ALL,Consent Of Instructor,0
COGS690.16,ALL,ALL,Consent Of Instructor,1
COGS690.17,ALL,ALL,Consent Of Instructor,1
COGS690.18,ALL,ALL,Consent Of Instructor,0
CSE 552.01,ALL,ALL,Consent Of Instructor,0
CSE 552.02,ALL,ALL,Consent Of Instructor,0
CSE 552.03,ALL,ALL,Consent Of Instructor,0
CSE 552.04,ALL,ALL,Consent Of Instructor,0
CSE 552.05,ALL,ALL,Consent Of Instructor,4
CSE 552.06,ALL,ALL,Consent Of Instructor,0
CSE 552.07,ALL,ALL,Consent Of Instructor,2
CSE 552.08,ALL,ALL,Consent Of Instructor,1
CSE 552.09,ALL,ALL,Consent Of Instructor,0
CSE 552.10,ALL,ALL,Consent Of Instructor,0
CSE 552.11,ALL,ALL,Consent Of Instructor,0
CSE 552.12,ALL,ALL,Consent Of Instructor,2
CSE 552.13,ALL,ALL,Consent Of Instructor,0
CSE 552.14,ALL,ALL,Consent Of Instructor,1
CSE 552.15,ALL,ALL,Consent Of Instructor,0
CSE 552.16,ALL,ALL,Consent Of Instructor,1
CSE 552.17,ALL,ALL,Consent Of Instructor,1
CSE 552.18,ALL,ALL,Consent Of Instructor,0
CSE 578.01,ALL,ALL,Consent Of Instructor,13
CSE 579.01,ALL,ALL,Consent Of Instructor,1
CSE 592.01,ALL,ALL,Consent Of Instructor,1
CSE 593.01,ALL,ALL,Consent Of Instructor,2
CSE 690.01,ALL,ALL,Consent Of Instructor,0
CSE 690.02,ALL,ALL,Consent Of Instructor,0
CSE 690.03,ALL,ALL,Consent Of Instructor,0
CSE 690.04,ALL,ALL,Consent Of Instructor,0
CSE 690.05,ALL,ALL,Consent Of Instructor,5
CSE 690.06,ALL,ALL,Consent Of Instructor,0
CSE 690.07,ALL,ALL,Consent Of Instructor,0
CSE 690.08,ALL,ALL,Consent Of Instructor,1
CSE 690.09,ALL,ALL,Consent Of Instructor,0
CSE 690.10,ALL,ALL,Consent Of Instructor,3
CSE 690.11,ALL,ALL,Consent Of Instructor,0
CSE 690.12,ALL,ALL,Consent Of Instructor,14
CSE 690.13,ALL,ALL,Consent Of Instructor,0
CSE 690.14,ALL,ALL,Consent Of Instructor,2
CSE 690.15,ALL,ALL,Consent Of Instructor,0
CSE 690.16,ALL,ALL,Consent Of Instructor,1
CSE 690.17,ALL,ALL,Consent Of Instructor,3
CSE 690.18,ALL,ALL,Consent Of Instructor,1
CET 102.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,46
CET 224.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,25,27
CET 224.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,25,15
CET 282.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,50,48
CET 282.02,ALL,ALL,Consent Of Instructor,0
CET 314.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,40
CET 314.02,ALL,ALL,Consent Of Instructor,13
CET 322.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,25
CET 322.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,30
CET 360.01,ALL,UNDERGRADUATE,30,30
CET 360.02,ALL,UNDERGRADUATE,30,37
CET 360.03,ALL,UNDERGRADUATE,30,32
CET 360.05,ALL,UNDERGRADUATE,25,34
CET 360.06,ALL,UNDERGRADUATE,25,36
CET 372.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,33
CET 372.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,32
CET 444.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,12
CET 444.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,8
CET 444.03,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,6
CET 444.04,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,10
CET 462.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,10
CET 462.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,9
CET 462.03,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,6
CET 462.04,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,10
CET 472.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,45,34
CET 488.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,20,20
CET 49D.01,ALL,UNDERGRADUATE,20,19
CMPE140.01,ECONOMICS,UNDERGRADUATE,100,156
CMPE150.01,ALL,ALL,Consent Of Instructor,302
CMPE150.02,ALL,ALL,Consent Of Instructor,159
CMPE160.01,COMPUTER ENGINEERING,UNDERGRADUATE,Unlimited,109
CMPE230.01,COMPUTER ENGINEERING,UNDERGRADUATE,Unlimited,148
CMPE230.01,ELECTRICAL & ELECTRONICS ENGINEERING,UNDERGRADUATE,3,1
CMPE230.01,INDUSTRIAL ENGINEERING,UNDERGRADUATE,3,1
CMPE230.01,MATHEMATICS,UNDERGRADUATE,3,1
CMPE240.01,COMPUTER ENGINEERING,ALL,Unlimited,131
CMPE260.01,COMPUTER ENGINEERING,UNDERGRADUATE,Unlimited,146
CMPE260.01,ELECTRICAL & ELECTRONICS ENGINEERING,UNDERGRADUATE,3,0
CMPE260.01,INDUSTRIAL ENGINEERING,UNDERGRADUATE,3,1
CMPE260.01,MATHEMATICS,UNDERGRADUATE,3,1
CMPE321.01,COMPUTER ENGINEERING,UNDERGRADUATE,Unlimited,114
CMPE350.01,ALL,ALL,Consent Of Instructor,113
CMPE352.01,COMPUTER ENGINEERING,UNDERGRADUATE,Unlimited,105
CMPE362.01,COMPUTER ENGINEERING,ALL,Unlimited,153
CMPE400.01,ALL,ALL,Consent Of Instructor,27
CMPE434.01,ALL,ALL,Consent Of Instructor,8
CMPE460.01,ALL,ALL,Consent Of Instructor,11
CMPE462.01,COMPUTER ENGINEERING,UNDERGRADUATE,Consent Of Instructor,30
CMPE476.01,COMPUTER ENGINEERING,UNDERGRADUATE,30,19
CMPE476.01,ELECTRICAL & ELECTRONICS ENGINEERING,UNDERGRADUATE,5,3
CMPE483.01,COMPUTER ENGINEERING,UNDERGRADUATE,25,23
CMPE483.01,ELECTRICAL & ELECTRONICS ENGINEERING,UNDERGRADUATE,2,4
CMPE483.01,INDUSTRIAL ENGINEERING,UNDERGRADUATE,2,3
CMPE483.01,MATHEMATICS,UNDERGRADUATE,2,4
CMPE485.01,COMPUTER ENGINEERING,UNDERGRADUATE,35,32
